Etape,Probabilite,Actif,Devise,MRR attendu,Equipe_commerciale,Gagnee_Perdue,Couleur,Opportunite,Revenu_attendu,Client,Priorite,Vendeur
Prospects,70.31,1.0,XAF,0,Ventes,En attente,0,opportunit de lafricaine des assurances congo,0,lafricaine des assurances congo,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de bureau d essais de controles et d analyses,0,bureau d essais de controles et d analyses becacongobecacompanycom,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de africa mega trading,0,africa mega trading contactamtcocom,Basse,Prince NGOMA
Prospects,99.58,1.0,XAF,0,Ventes,En attente,0,centre 4m de sant du diagnostic et de lexpertise,0,inconnu,Basse,Prince NGOMA
Prospects,70.31,1.0,XAF,0,Ventes,En attente,0,opportunit de laboratoire biologie biomedicale,0,laboratoire biomedicale,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de engilog,0,inconnu,Basse,Prince NGOMA
Prospects,70.31,1.0,XAF,0,Ventes,En attente,0,opportunit de hmp mainenance,0,hmp mainenance,Basse,Prince NGOMA
Prospects,98.78,1.0,XAF,0,Ventes,En attente,0,opportunit de direct assistance,0,inconnu,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de opticien olc,0,inconnu,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de elite laboratoire de biologie mdicale,0,inconnu,Basse,Prince NGOMA
Prospects,98.78,1.0,XAF,0,Ventes,En attente,0,opportunit de centre al mahdi,0,inconnu,Basse,Prince NGOMA
Prospects,68.68,1.0,XAF,0,Ventes,En attente,0,opportunit de centre mdical bethesda,0,centre mdical bethesda,Basse,Prince NGOMA
Prospects,63.81,1.0,XAF,0,Ventes,En attente,0,opportunit de centre mdical international,0,inconnu,Basse,Prince NGOMA
Prospects,99.5,1.0,XAF,0,Ventes,En attente,0,opportunit de secret des sens,0,inconnu,Basse,Prince NGOMA
Prospects,63.81,1.0,XAF,0,Ventes,En attente,0,opportunit de kin plus,0,inconnu,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de cabinet dentaire murielle edith gnali gomes,0,inconnu,Basse,Prince NGOMA
Prospects,63.81,1.0,XAF,0,Ventes,En attente,0,opportunit de dfep,0,inconnu,Basse,Prince NGOMA
Prospects,99.38,1.0,XAF,0,Ventes,En attente,0,opportunit de cogreen,0,inconnu,Basse,Prince NGOMA
Prospects,63.81,1.0,XAF,0,Ventes,En attente,0,opportunit de mercure logistics congo,0,inconnu,Basse,Prince NGOMA
Prospects,68.68,1.0,XAF,0,Ventes,En attente,0,opportunit de chrome services,0,chrome services,Basse,Prince NGOMA
Prospects,63.81,1.0,XAF,0,Ventes,En attente,0,opportunit de cfm corporate,0,inconnu,Basse,Prince NGOMA
Prospects,63.81,1.0,XAF,0,Ventes,En attente,0,opportunit de iesm,0,inconnu,Basse,Prince NGOMA
Prospects,98.78,1.0,XAF,0,Ventes,En attente,0,opportunit de alkhorayef petroleum company,0,alkhorayef petroleum company,Basse,Prince NGOMA
Prospects,98.79,1.0,XAF,0,Ventes,En attente,0,opportunit de ism,0,inconnu,Basse,Prince NGOMA
Prospects,99.37,1.0,XAF,0,Ventes,En attente,0,opportunit de villa madiba,0,inconnu,Basse,Prince NGOMA
Prospects,97.64,1.0,XAF,0,Ventes,En attente,0,opportunit de smgc,0,smgc,Basse,Prince NGOMA
Prospects,98.78,1.0,XAF,0,Ventes,En attente,0,opportunit de sthic,0,inconnu,Basse,Prince NGOMA
Prospects,72.24,1.0,XAF,0,Ventes,En attente,0,opportunit de europlast,0,inconnu,Basse,Prince NGOMA
Prospects,98.78,1.0,XAF,0,Ventes,En attente,0,opportunit de ocean express,0,ocean express,Basse,Prince NGOMA
Prospects,99.37,1.0,XAF,0,Ventes,En attente,0,opportunit de inalca brazzaville sarl,0,inconnu,Basse,Prince NGOMA
Prospects,99.37,1.0,XAF,0,Ventes,En attente,0,opportunit de la congolaise de congelation,0,inconnu,Basse,Prince NGOMA
Prospects,99.37,1.0,XAF,0,Ventes,En attente,0,opportunit de proteck sarl,0,inconnu,Basse,Prince NGOMA
Prospects,99.37,1.0,XAF,0,Ventes,En attente,0,opportunit de transit express,0,inconnu,Basse,Prince NGOMA
Prospects,72.24,1.0,XAF,0,Ventes,En attente,0,opportunit de kynd international,0,kynd international,Basse,Prince NGOMA
Prospects,99.37,1.0,XAF,0,Ventes,En attente,0,opportunit de saveur du congo,0,inconnu,Basse,Prince NGOMA
Prospects,8.51,1.0,XAF,0,Ventes,En attente,0,opportunit de hapaglloyd congo,0,hapaglloyd congo,Basse,Prince NGOMA
Prospects,99.36,1.0,XAF,0,Ventes,En attente,0,opportunit de imane services,0,inconnu,Basse,Prince NGOMA
